insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (1, 'n/a', 2020, 'Shoshanna Millyard', 'Waxwing', 'Celso Ramos', 'Tsaghkunk’');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (2, 'Finance', 2021, 'Hussein Auletta', 'Stang', 'Navegantes', 'Lupon');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (3, 'Consumer Durables', 2022, 'Sibella Thormann', 'Morningstar', 'Karengan', 'Denver');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (4, 'Consumer Services', 2022, 'Sharia Wellesley', 'Ruskin', 'Gulod', 'Nifuboko');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (5, 'Technology', 2022, 'Gilburt Jotcham', 'Village', 'Huayang', 'Gasan');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (6, 'Finance', 2023, 'Justin Stebbing', 'Anniversary', 'Nová Cerekev', 'Lijie');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (7, 'Finance', 2023, 'Agnese Akhurst', 'Kedzie', 'Tierp', 'Luyang');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (8, 'Energy', 2021, 'Leigha Radbond', 'Miller', 'Cristóbal', 'Sukoanyar');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (9, 'Consumer Services', 2021, 'Gavan Tettersell', 'Village Green', 'Chabany', 'Aktau');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (10, 'n/a', 2022, 'Jere Blues', 'Goodland', 'Liuli', 'Uthai Thani');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (11, 'n/a', 2021, 'Elspeth Pott', 'Reinke', 'Besançon', 'Sukasari');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (12, 'n/a', 2023, 'Vick Tomaschke', 'Bunker Hill', 'Bambas', 'Pohbango');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (13, 'Basic Industries', 2020, 'Issie Potteril', 'Quincy', 'Asímion', 'Nakkila');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (14, 'Health Care', 2020, 'Alison Clemon', 'Lien', 'Kostakioí', 'Al Khārijah');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (15, 'n/a', 2022, 'Rabi Slyvester', 'Dryden', 'Ilha de Moçambique', 'Katiola');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (16, 'Energy', 2021, 'Cher Bennit', 'Coolidge', 'Londiani', 'Postira');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (17, 'Finance', 2023, 'Loise Wyss', 'Tony', 'Gustavia', 'Kapuan');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (18, 'Health Care', 2023, 'Brion Quarterman', 'Nelson', 'Yukuriawat', 'Boudinar');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (19, 'n/a', 2020, 'Tess Maslin', '4th', 'Miaoshi', 'Besançon');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (20, 'Consumer Services', 2021, 'Margot Fassum', 'Rowland', 'Sunnyvale', 'Owando');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (21, 'Health Care', 2020, 'Nata Melding', 'East', 'Barreiro', 'Texíguat');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (22, 'n/a', 2022, 'Danit Maddrah', 'Debs', 'Cipinang', 'Dolní Libina');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (23, 'Consumer Services', 2021, 'Jeana Romaine', 'Charing Cross', 'K’olīto', 'Gnieżdżewo');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (24, 'Finance', 2021, 'Vinson Jackling', 'Pond', 'Gonābād', 'Urrô');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (25, 'Finance', 2023, 'Conroy Wilkison', 'Nancy', 'Al Masallamiyya', 'Chavdar');
insert into loja (id_loja, Designacao_Loja, ano_Abertura, Gerente, rua, cidade, distrito) values (26, 'n/a', 2020, 'Base Allabarton', 'Golden Leaf', 'Sukolilo', 'Maibu');
